2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.Realised acoustparams extractor Starting power-on self test.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.Realised acoustparams extractor Power-on self test complete.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.Realised durations extractor Module started (AUDIO->REALISED_DURATIONS, locale null).
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.Realised durations extractor Starting power-on self test.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.Realised durations extractor Power-on self test complete.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.Praat TextGrid generator Module started (REALISED_ACOUSTPARAMS->PRAAT_TEXTGRID, locale null).
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.Praat TextGrid generator Starting power-on self test.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.Praat TextGrid generator Power-on self test complete.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2017-07-20 01:39:46,140 [AWT-EventQueue-0] INFO  marytts.JTokeniser Starting power-on self test.
2017-07-20 01:39:46,140 [AWT-EventQueue-0] INFO  marytts.JTokeniser Power-on self test complete.
2017-07-20 01:39:46,140 [AWT-EventQueue-0] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale en).
2017-07-20 01:39:46,140 [AWT-EventQueue-0] INFO  marytts.Preprocess Starting power-on self test.
2017-07-20 01:39:46,140 [AWT-EventQueue-0] INFO  marytts.Preprocess Power-on self test complete.
2017-07-20 01:39:46,140 [AWT-EventQueue-0] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
2017-07-20 01:39:46,140 [AWT-EventQueue-0] INFO  marytts.JPhonemiser Starting power-on self test.
2017-07-20 01:39:46,140 [AWT-EventQueue-0] INFO  marytts.JPhonemiser Power-on self test complete.
2017-07-20 01:39:46,140 [AWT-EventQueue-0] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_GB).
2017-07-20 01:39:46,140 [AWT-EventQueue-0] INFO  marytts.JPhonemiser Starting power-on self test.
2017-07-20 01:39:46,140 [AWT-EventQueue-0] INFO  marytts.JPhonemiser Power-on self test complete.
2017-07-20 01:39:46,156 [AWT-EventQueue-0] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale en).
